star_name,Simbad_ID,GaiaDR3_ID,distance_pc,ra_combined,dec_combined
Wolf 1225,Wolf 1225,Gaia DR3 1901773448080491392,15.511090429657205,335.8726516821843,32.4583034620584
V* MR Del,HD 195434,Gaia DR3 4245659976227848704,44.5718994140625,307.80746807237955,5.2202899206669375
G  41-14,G  41-14,Gaia DR3 585250252550906624,6.804109682248078,134.73467,8.473907777777779
HD 270712,HD 270712,Gaia DR3 4654969496256092032,21.000499725341797,71.04411298673476,-70.3237255702916
RX J0817.7-8243,RX J0817.7-8243,Gaia DR3 5194528576741489408,26.53829210167351,124.41123926434372,-82.72453613172969
HD 143677,HD 143677,Gaia DR2 5991459247446282880,165.83747927031507,240.93898398005115,-43.93045676057183
HD 119022,HD 119022,Gaia DR2 5850195711494094976,123.15270935960592,205.7858383073601,-69.12771834316395
V* V577 Mon,Ross  614,Gaia DR3 3117120863519565568,4.115803904992429,97.35072947717475,-2.8171882203824805
V* bet Per,* bet Per,Gaia DR2 239863001382455424,27.570995312930794,47.04221833333333,40.95564666666667
V* DG CVn,V* DG CVn,Gaia DR3 1450067137649786752,18.285714285714285,202.94302916298565,29.276190837297328
V* TZ CrB,* sig CrB,Gaia DR3 1328866562170960512,22.649099349975586,243.66878716838013,33.85822643128281
V* V503 Hya,V* V503 Hya,,182.89560318969933,132.33255791666664,5.874885833333334
G 249-36,G 249-36,Gaia DR3 1005873614080407296,16.279698239513433,91.37515254235736,60.819401063972606
HD 132658,HD 132658,Gaia DR3 1181256645104905344,169.947998046875,224.99788755833146,12.023971483595556
V* UX Ari,V* UX Ari,Gaia DR3 118986060277836160,50.54691764896177,51.647398333333335,28.715062777777778
V* V454 Ser,RX J1536.5+1219,Gaia DR3 1190471995655261568,287.34539794921875,234.14342804355925,12.324988773215285
V* V358 Boo,StKM 1-1155,Gaia DR3 1227780314970612864,156.99879455566406,216.4827808139271,14.202674465419276
V* IU Boo,V* IU Boo,Gaia DR3 1259623683539532160,327.6348876953125,214.12864004037203,26.923703100624383
G 166-49,G 166-49,Gaia DR3 1283125607149311360,13.047522992997395,222.79153947058902,31.110378052770027
V* VY Ari,V* VY Ari,Gaia DR3 130173900330982016,41.49325942000722,42.18220291666666,31.115164444444446
V* V1079 Her,V* V1079 Her,Gaia DR3 1302463783295598080,409.2657771957109,245.0571302010139,24.603056641083416
RX J1702.8+4712,RX J1702.8+4712,Gaia DR3 1359944361409091712,355.8212354113293,255.70351674867763,47.2184549502057
BD+46  2361,BD+46  2361,Gaia DR3 1362592672604119168,21.48947875120341,266.3895674912594,46.85550915692615
HD 146696,HD 146696,Gaia DR3 1385525220983694848,87.42880249023438,243.927790976889,44.55230153450269
V* SS Boo,V* SS Boo,Gaia DR3 1388595877786275968,236.0614013671875,228.38528751659612,38.56811715351192
V* UX Com,V* UX Com,Gaia DR3 1463857693521711872,200.12120056152344,195.38727327070032,28.631706269874144
V* BM CVn,V* BM CVn,Gaia DR3 1476446929861764992,115.331298828125,200.38410378725064,38.88035556082892
V* IZ Boo,V* IZ Boo,Gaia DR3 1484942233437321728,36.002174531341694,215.01940028381375,39.050701619509155
FBS 1415+456,FBS 1415+456,Gaia DR3 1505209054532280960,18.991260222045813,214.34237220584717,45.42936021377157
V* alf02 CVn,* alf02 CVn,Gaia DR3 1517698716348324992,30.55982544227707,194.0056156711975,38.31862104268021
ATO J195.9855+48.2551,ATO J195.9855+48.2551,Gaia DR3 1555432443587108096,38.65316898005883,195.9855229375722,48.25508548157826
HD  31381,HD  31381,Gaia DR3 161743593580224512,221.1459784603817,74.21547458333333,33.97714361111111
V* V773 Tau,HD 283447,Gaia DR3 163184366130809984,120.10425048942481,63.553858749999996,28.203433055555553
V* V1023 Tau,V* V1023 Tau,Gaia DR3 164513538249595136,127.39340356956316,64.69595458333333,28.33541472222222
V* V987 Tau,HD 283572,Gaia DR3 164536250037820160,127.00831904489745,65.49520166666666,28.30180888888889
V* UV Equ,ASAS J210707+0632.7,Gaia DR3 1736744247468720256,264.28741455078125,316.77953287653554,6.542216951409636
V* NR Peg,V* NR Peg,Gaia DR3 1760839185799686016,158.84120178222656,317.4665836953068,16.15703911486121
Gaia DR3 1761821839956892160,,Gaia DR3 1761821839956892160,514.650390625,313.2657594194892,14.742333209942766
TYC 1132-530-1,TYC 1132-530-1,Gaia DR3 1770481073843604736,92.75240325927734,324.9239398109133,13.406102850046015
HD 191179,HD 191179,Gaia DR3 1809393688018632704,213.48809814453125,301.99677806229454,16.166098293272913
BD+05   378,BD+05   378,Gaia DR3 18211043587721088,44.29619982901667,40.357867500000005,5.988443333333334
Gaia DR3 1859797431337296384,,Gaia DR3 1859797431337296384,,311.0502263143901,31.451008080255836
V* V1396 Cyg,BD+40   883,Gaia DR3 1873073175244118784,14.968805010358414,315.02594408686326,40.069067417758205
V* V374 Peg,V* V374 Peg,Gaia DR3 1893189736896880640,9.102924951845527,330.306566078579,28.30710892040449
V* KX Peg,V* KX Peg,Gaia DR3 1894725956507457792,118.16000366210938,335.6354354643504,30.357428327232903
Wolf 1225 A,Wolf 1225 A,Gaia DR3 1901773448080491392,15.23305817352586,335.8726516821843,32.4583034620584
Wolf 1225 B,Wolf 1225 B,Gaia DR3 1901773452377248512,15.294939975008067,335.87225544810565,32.45820740596688
V* EV Lac,V* EV Lac,Gaia DR3 1934263333784036736,5.051594460017387,341.7028254522359,44.3319533233193
V* lam And,* lam And,Gaia DR3 1939115478598580352,25.924466474479956,354.39204130799976,46.456276552702825
V* AR Lac,V* AR Lac,Gaia DR3 1962909425622345728,42.86439895629883,332.16974273562016,45.74246076572013
V* HK Lac,V* HK Lac,Gaia DR3 1975290167073179904,143.70913271538407,331.2362582743688,47.234713453894415
V* V478 Lyr,V* V478 Lyr,Gaia DR3 2042389925739687808,27.037700653076172,286.88551501549904,30.25495170578353
EM* AS  431,EM* AS  431,Gaia DR3 2064671253991921408,1994.4156362185881,309.1817928817363,40.352041891603534
Schulte  9,Schulte  9,Gaia DR3 2067783623515353728,1917.9133103183738,308.2947182011725,41.25226316212749
MR 112,MR 112,Gaia DR3 2067867358199590400,1198.3223487118034,308.9461734598288,41.379063943276414
V* V1687 Cyg,HD 193793,Gaia DR3 2081261372633822592,1859.4272963927112,305.1165394492402,43.854515794667826
HD 192785,HD 192785,Gaia DR3 2081589817375031424,233.02870178222656,303.7044516373769,45.02852629624931
LSR J1835+3259,LSR J1835+3259,Gaia DR3 2091177593123254016,5.688508643688884,278.90744884954285,32.994787158699616
HD 181068,HD 181068,Gaia DR3 2101454419072479488,225.99859619140625,289.2874192155173,41.264772331425995
PM J05187+4629,PM J05187+4629,Gaia DR3 211890772739146112,47.85215597888763,79.68565208333332,46.499885
V* V1794 Cyg,HD 199178,Gaia DR3 2162964329341318656,112.05690002441406,313.4737146808538,44.386407242782255
V* V376 Cep,V* V376 Cep,Gaia DR3 2299477768899190400,40.05229949951172,329.5772953769142,82.87090202192456
BPM 46714,BPM 46714,Gaia DR3 2342601748810281088,101.63860321044922,13.189171233433843,-27.475769488931373
HD   4967B,HD   4967B,Gaia DR3 2349206343359507584,15.367285814612137,12.899607379310654,-22.90983482076865
HD 220096,HD 220096,Gaia DR3 2378896524563606144,101.40033867713117,350.314487065015,-26.9868190860127
V* FK Aqr,V* FK Aqr,Gaia DR3 2400808142038361088,8.879199981689453,339.6920274130413,-20.62148673061316
NAME GR* 215A,NAME GR* 215A,Gaia DR3 2407654319907293568,26.51183753545958,351.67240216046685,-15.075734252486633
BD-16    20,BD-16    20,Gaia DR3 2416398323566982144,121.89029693603516,3.03209276904684,-15.842625731869616
V* R Aqr,V* R Aqr,Gaia DR3 2419576358847950592,385.6388106899078,355.9562214699887,-15.284628588436991
* ome02 Aqr B,* ome02 Aqr B,Gaia DR3 2419886558565222400,49.62138880342983,355.6826080194672,-14.545021776793222
LP  704-15,LP  704-15,Gaia DR3 2421080250237097344,19.831944105648734,359.33671447287855,-12.980168707826211
Barta 161 12,Barta 161 12,Gaia DR3 2477870708709917568,37.281159593187986,23.808452780623654,-7.214511232156196
G 271-110,G 271-110,Gaia DR3 2478001486169801216,23.981447951864435,24.230680617429513,-6.794333571507654
V* BY Cet,V* BY Cet,Gaia DR3 2498548845936384000,69.0186996459961,41.86228921936618,-0.20602888194823837
1RXS J015647.6-002100,1RXS J015647.6-002100,Gaia DR3 2507484130258715136,69.45690155029297,29.196762079877495,-0.35374773219551936
BD+02   305B,BD+02   305B,Gaia DR3 2517883865285522944,23.86526625284295,29.803700042586325,3.52002494990192
V* AR Psc,HD   8357,Gaia DR3 2566277181659646208,45.49383558527819,20.736909562526307,7.420286170441353
BD-08  6022,BD-08  6022,Gaia DR3 2607494058654223744,196.72030639648438,346.4708890448821,-7.763575983131371
V* AF Psc,V* AF Psc,Gaia DR3 2640348977921037056,34.92729882749058,352.9376079423676,-2.7446366226582546
BD+05  5154,BD+05  5154,Gaia DR3 2664052288247453824,435.8147888183594,349.30618709688804,5.852202883844909
HD 206069,HD 206069,Gaia DR3 2671331703762455552,79.10389709472656,324.93808460041487,-4.988637837564529
V* FF Aqr,V* FF Aqr,Gaia DR3 2676368463450484096,204.94410705566406,330.1519124765948,-2.740842056905452
PM J22035+0340,PM J22035+0340,Gaia DR3 2683961454529115264,21.780940370319545,330.8891066922998,3.6726214722133177
HD 202244,HD 202244,Gaia DR3 2688905232468944000,273.1642150878906,318.63546484844545,-0.9812364340868791
RX J2137.6+0137,RX J2137.6+0137,Gaia DR3 2694353690543010560,35.9114137246241,324.41783640012886,1.6201909639896472
* ome Psc,* ome Psc,Gaia DR3 2745491430891511168,32.59410095214844,359.82854365060507,6.8628259218808925
V* BL Psc,BD+08   102,Gaia DR3 2750199780197751936,93.5988998413086,11.005611832739929,9.54918616463096
Gaia DR3 2774887080416334336,,Gaia DR3 2774887080416334336,,12.61628085322762,11.486990075620447
BD+21    20A,BD+21    20A,Gaia DR3 2800343793960754304,195.68980407714844,4.373231619212489,22.003256079562306
HD  17662,HD  17662,Gaia DR3 28502060106925824,82.7848834802765,42.62574,11.870098611111112
* del And B,* del And B,Gaia DR3 2858629802997575936,32.341631117823795,9.824437133897435,30.864458377662235
Gaia DR2 2859702307870926208,Gaia DR2 2859702307870926208,Gaia DR3 2859702307870926208,32.7515565177235,8.523773108345857,32.036295462636296
V* AP Col,V* AP Col,Gaia DR3 2886233695250041216,8.66564643122683,91.21742524933883,-34.558412822381825
2MASS J05433079-3536138,2MASS J05433079-3536138,Gaia DR3 2888168526477159040,58.675460162296325,85.8786018966627,-35.60351127839271
Gaia DR3 2890290412120413440,,Gaia DR3 2890290412120413440,,88.2164838189975,-33.199134033094175
2MASS J06012552-3225117,2MASS J06012552-3225117,Gaia DR3 2890783233848205952,27.383605982770234,90.35658148744194,-32.41928517351638
UCAC4 299-008956,UCAC4 299-008956,Gaia DR3 2891290074348631808,231.62130737304688,90.0459582490192,-30.381627365067658
HD  43162C,HD  43162C,Gaia DR3 2913314288686472576,16.669305973445795,93.44641834723038,-23.906400629805045
V* HR Psc,V* HR Psc,Gaia DR3 292071455599507456,218.84232410548202,24.115884166666664,25.143225
V* HY CMa,V* HY CMa,Gaia DR3 2944608653059127808,141.70309448242188,93.16175589286294,-16.80988337828651
HD  50044,HD  50044,Gaia DR3 2948864351471928320,251.93130493164062,102.695631552219,-14.741916578118017
UCAC4 345-006842,UCAC4 345-006842,Gaia DR3 2962794236080240128,48.30287836852198,77.113896193288,-21.02904956290413
PM J05243-1601A,PM J05243-1601A,Gaia DR3 2983928735054717696,31.190153892219307,81.07977038972696,-16.021054872828934
1RXS J061542.9-072339,1RXS J061542.9-072339,Gaia DR3 3007596105097395328,237.06300354003906,93.92668468794776,-7.396035301151579
V* AF Lep,V* AF Lep,Gaia DR3 3009908378049913216,26.813800811767578,81.769924030883,-11.901181972232846
V* PR Ori,V* PR Ori,Gaia DR3 3016976829066516096,333.9455668725998,84.10414202670398,-6.292365165297001
V* R CMa,V* R CMa,Gaia DR3 3030977013710528768,43.3656005859375,109.86817814451368,-16.395865810285567
HD  54662,HD  54662,Gaia DR3 3046582725837564800,1381.5971262779774,107.33436068593406,-10.346551401559852
V* VV Mon,V* VV Mon,Gaia DR3 3053264114407619840,278.95440673828125,105.82622086843637,-5.7376030355467575
Gaia DR3 3068506094341647616,,Gaia DR3 3068506094341647616,,119.53431942661976,-4.613231406471316
V* GK Hya,V* GK Hya,Gaia DR3 3079656860229282944,226.35899353027344,127.7052518075816,2.2741016945132277
ASAS J073522+0047.2,ASAS J073522+0047.2,Gaia DR3 3086625633648315392,293.55889892578125,113.84299612732774,0.7844705794759429
HD  57135,HD  57135,Gaia DR3 3109948092042360576,321.6099853515625,109.96061344510191,-1.4163974061830729
HD  30900,HD  30900,Gaia DR3 3180844498721017856,361.0745849609375,72.75200455969846,-12.239342120154173
V* DY Eri,* omi02 Eri C,Gaia DR3 3195919254111314816,5.013747696182933,63.82965602087436,-7.670903382610344
1RXS J052241.4-060623,1RXS J052241.4-060623,Gaia DR3 3209175447332278144,70.5238511664645,80.66965027702403,-6.106780178548591
V* EZ Eri,V* EZ Eri,Gaia DR3 3211720748030043520,277.1788024902344,76.86870784363444,-5.407153376414863
2MASS J05443413-0122020,2MASS J05443413-0122020,Gaia DR3 3218175877717002496,425.29664440947556,86.1422373555717,-1.3672280453787387
ATO J085.9661+00.6108,ATO J085.9661+00.6108,Gaia DR3 3219429458412787328,391.52734818527074,85.96612154963654,0.6108851979723494
V* V1198 Ori,V* V1198 Ori,Gaia DR3 3228407348810503168,33.592899322509766,74.57005520731845,0.4536638886466193
V* V1801 Ori,V* V1801 Ori,Gaia DR3 3238176612703359104,280.5044860839844,75.40816348849123,2.9070513239864693
1RXS J032145.2-034320,1RXS J032145.2-034320,Gaia DR3 3260931589953722624,463.85528564453125,50.444592413312606,-3.726595622869778
[R78b] 233,[R78b] 233,Gaia DR3 3274291270411229056,26.77641426326035,54.17069902375673,3.488224272872074
LP  476-207 A,LP  476-207 A,Gaia DR3 3291643148740384128,23.717199325561523,75.49514106880602,9.98252583775703
LP  476-207 B,LP  476-207 B,Gaia DR3 3291643148741783296,23.75251776688329,75.49535739653825,9.982201206120338
HD  28867A,HD  28867A,Gaia DR3 3314244361868724224,157.9753874346377,68.38775985323895,18.016635154811393
Gaia DR3 3315807764324564352,,Gaia DR3 3315807764324564352,,88.51247156921235,1.6727487312838014
V* V1859 Ori,RX J0522.9+0857,Gaia DR3 3338340507084907264,274.36590576171875,80.72830921802404,8.967925350715698
HD 251108,HD 251108,Gaia DR3 3342754943193083392,496.560791015625,91.0624784561563,12.764171043053425
V* CP Ori,V* CP Ori,Gaia DR3 3349474810366412928,316.1636962890625,91.75782393246104,17.699495212980576
V* V406 Gem,V* V406 Gem,Gaia DR3 3354424094460822144,677.197998046875,101.81492369792859,14.577538838629808
V* V1358 Tau,V* V1358 Tau,Gaia DR3 3407734839146301312,600.5391235351562,78.16401627894709,19.476449539254883
V* HU Tau,V* HU Tau,Gaia DR3 3411229847309096704,127.14219665527344,69.56589773058752,20.684692867116883
LSR J0510+2713,LSR J0510+2713,Gaia DR3 3421840993510952192,10.275538566665125,77.58263149822184,27.23104763817728
1RXS J051111.1+281353,1RXS J051111.1+281353,Gaia DR3 3422476266419055232,139.51671410234945,77.7939614141563,28.230585741218082
HD 250174,HD 250174,Gaia DR3 3429973634348039296,424.1422119140625,90.19227302498544,26.703348559517732
HD 243628,HD 243628,Gaia DR3 3445484341801118080,136.15069580078125,81.71847032308989,28.574149090430975
SCR J1217-3557,SCR J1217-3557,Gaia DR3 3461794772163223424,39.64649963378906,184.48145842220043,-35.95397488028569
CD-34  7904,CD-34  7904,Gaia DR3 3462592639648769024,598.4674072265625,181.43482511396093,-35.18500191515598
V* V550 Hya,CD-26  8623,Gaia DR3 3485098646237003392,45.959050486016956,173.1714897627468,-26.86566666910962
V* LW Hya,PN A66   35,Gaia DR3 3499149202247569536,114.31880187988281,193.38633689778018,-22.872994020726686
HD 114483,HD 114483,Gaia DR3 3504877314230709376,363.2604064941406,197.77221106236624,-21.374193172022338
V* UY Vir,V* UY Vir,Gaia DR3 3508999005366339200,155.75830078125,195.4726356250579,-19.774852167854228
TYC 6106-245-1,TYC 6106-245-1,Gaia DR3 3517188099251256064,174.9958038330078,188.60756147671358,-17.76243455806518
Gaia DR3 3531972029519928320,,Gaia DR3 3531972029519928320,207.1387939453125,167.0635347200972,-28.234885048884497
LP  732-30,LP  732-30,Gaia DR3 3560263941171621760,44.16122379583383,172.23080992616696,-15.938932629592346
V* HU Vir,V* HU Vir,Gaia DR3 3582095053777917952,156.72079467773438,183.33616240740196,-9.079683847160497
BD-09  3290,BD-09  3290,Gaia DR3 3589840838316859776,346.1794128417969,171.9773573768547,-10.190003004939264
TYC 6121-132-1,TYC 6121-132-1,Gaia DR3 3604703658543878272,334.1412048339844,202.62612625660418,-15.861989572963589
LP  798-25,LP  798-25,Gaia DR3 3605249600427076352,20.219257629736866,205.53867405527558,-16.006700484773564
LP  737-51,LP  737-51,Gaia DR3 3608334005420675584,19.389201378184435,200.47435509523027,-14.402375689120356
HD 117332,HD 117332,Gaia DR3 3632150492429910400,187.37530517578125,202.42990652126412,-4.9061486494181885
HD 116546,HD 116546,Gaia DR3 3635396697431775104,77.7052001953125,201.1073048041321,-4.6165392815059025
V* CM Vir,V* CM Vir,Gaia DR3 3649978661157413632,416.7255859375,218.03166283467704,-1.2462526192013532
* 109 Vir,* 109 Vir,Gaia DR3 3655377057091634304,43.45819854736328,221.56166928298174,1.8927928769364972
2MASS J13582164-0046262,2MASS J13582164-0046262,Gaia DR3 3660329566700404992,45.900194616825175,209.58970992035074,-0.7742583239108054
PM J14175+0233,PM J14175+0233,Gaia DR3 3666886156399692672,30.138500213623047,214.37574940964646,2.5618019762869007
V* IS Vir,V* IS Vir,Gaia DR3 3677941161701409792,247.9297862845242,196.60835615320133,-4.846004612592078
BD+07  2577,BD+07  2577,Gaia DR3 3709571332390062080,221.19000221190004,192.17897555467178,6.9063364042455335
V* DM Boo,V* DM Boo,Gaia DR3 3727040991606643584,174.41659545898438,207.3445893987187,10.59077149236491
BD-05  3253,BD-05  3253,Gaia DR3 3784918459059621888,56.73243847367048,169.83041757382762,-5.829658566842194
PM J09205+0135,PM J09205+0135,Gaia DR3 3844225734009010048,34.448191642179744,140.130084602766,1.592086169328649
BD+03  2186,BD+03  2186,Gaia DR3 3845433483107682688,423.40411376953125,139.53406589848322,3.067501755968236
V* V498 And,V* V498 And,Gaia DR3 387742126997049728,126.62074554294976,10.087084166666665,43.723708333333335
V* IN Leo,V* IN Leo,Gaia DR3 3884704946075965696,234.03856955626287,159.99585907089082,13.45601320273339
V* PW Com,BD+14  2519,Gaia DR3 3931907289493655040,204.3842010498047,188.98908124294735,13.490205538452708
PM J03510+1413,PM J03510+1413,Gaia DR3 39527339939738112,40.03314744608536,57.75330333333333,14.227749444444445
LP  491-51,LP  491-51,Gaia DR3 3968118399284369280,15.171600341796875,165.83769461159238,13.632847157123214
2MASS J18062369-3601237,2MASS J18062369-3601237,Gaia DR3 4038724053950164096,17.108699798583984,271.5994368768923,-36.02315817876133
HD 161529,HD 161529,Gaia DR3 4041035021153396864,261.11024074364195,266.91382660612965,-35.80690037717298
HD 162186,HD 162186,Gaia DR3 4043524762244704000,133.7156982421875,267.7784909872134,-32.30780580378923
ASAS J182019-3320.1,ASAS J182019-3320.1,Gaia DR3 4045501993383480960,250.64280700683594,275.0767391087396,-33.33572875107981
LP  923-19,LP  923-19,Gaia DR3 4046709875578636672,17.218164474794328,278.84201284819926,-31.396680739248108
Gaia DR3 4057846210342377600,,Gaia DR3 4057846210342377600,,261.15174736891186,-31.880436368832306
HD 314741,HD 314741,Gaia DR3 4063811988637931904,31.449211096539642,268.72572828931925,-26.828670553644802
Gaia DR3 4070354800072273792,Gaia DR3 4070354800072273792,Gaia DR3 4070354800072273792,101.1897964477539,269.14532270692183,-21.98836434165858
HD 315687,HD 315687,Gaia DR3 4076961323155541504,324.99688720703125,276.74824418548263,-25.34993072795592
V* V4138 Sgr,V* V4138 Sgr,Gaia DR3 4082719809063565696,75.59359741210938,290.6679563065285,-20.643374230682568
HD 179024,HD 179024,Gaia DR3 4083990466553336192,167.7458953857422,287.93899123541945,-19.189256044121965
2MASS J18565784-2126185,2MASS J18565784-2126185,Gaia DR3 4084819395253362944,555.5477905273438,284.2409648882147,-21.438540149120595
V* V4379 Sgr,HD 165202,Gaia DR3 4095030181777183616,168.7613983154297,271.3887877137938,-19.754209900269903
Gaia DR3 4117614627330721152,,Gaia DR3 4117614627330721152,321.6383972167969,263.81543841210464,-22.026812997577437
HD 154204,HD 154204,Gaia DR3 4127980792913041664,160.82220458984375,256.18883676213704,-20.49481074178544
V* V1010 Oph,V* V1010 Oph,Gaia DR3 4134106172174615680,75.08014805805196,252.3652839254988,-15.667907211497148
Gaia DR3 4135451184146617984,,Gaia DR3 4135451184146617984,132.75970458984375,257.28085211567696,-17.87890232263733
G 154-44,G 154-44,Gaia DR3 4145870293808914688,7.971246120992356,271.88396508794,-15.964616826018132
V* MY Ser,HD 167971,Gaia DR3 4153657378750644864,702.9998779296875,274.5245623363966,-12.242595907153905
Wolf 1473,Wolf 1473,Gaia DR3 4165561928540617856,13.065729766737526,266.6220201822353,-8.712042478984
TYC 5662-317-1,TYC 5662-317-1,Gaia DR3 4166093782931002112,226.07899475097656,262.11559210731315,-10.6080395590828
V* V1379 Aql,HD 185510,Gaia DR3 4208938315090181248,177.39669799804688,294.9118557189863,-6.063862831475821
V* AE Aqr,V* AE Aqr,Gaia DR3 4226332451596335616,91.87259674072266,310.0384797217098,-0.8707909181473499
V* V1658 Aql,V* V1658 Aql,Gaia DR3 4247697027679913728,262.5622863769531,302.68258415719015,4.913504062044551
RX J190333+10439,RX J190333+10439,Gaia DR3 4312555805552426496,670.5692749023438,285.890351499404,10.73343289785903
2MASS J19301355+1832024,2MASS J19301355+1832024,Gaia DR3 4323329438956658432,,292.55649874822103,18.533991985926967
IPHAS J193038.84+183909.8,IPHAS J193038.84+183909.8,Gaia DR3 4323332329499518848,7352.941176470587,292.661813024306,18.652701810508734
V* V2507 Oph,Wa Oph 4,Gaia DR3 4326516579568189568,127.45790100097656,252.07498290781626,-14.187834161738065
2MASS J16490082-1417108,2MASS J16490082-1417108,Gaia DR3 4326534485289519104,118.32219132698339,252.25333774835056,-14.286419427502903
G  19-7,G  19-7,Gaia DR3 4365609170043180416,8.706000328063965,254.27604768745735,-4.350649323558728
UCAC4 416-062694,UCAC4 416-062694,Gaia DR3 4397045027810215424,117.84429931640625,233.95560349148116,-6.957792914051912
V* PX Ser,V* PX Ser,Gaia DR3 4449776750782934528,190.8961944580078,242.408530761546,5.876967826689968
Gaia DR3 4495002202356966400,,Gaia DR3 4495002202356966400,143.7196044921875,269.09244049628114,11.114372761662493
Ross  733,Ross  733,Gaia DR3 4516199313406309504,18.120472147022262,288.6602687451435,19.3196359991605
V* U Sge,* U Sge,Gaia DR3 4516549576568929408,266.73919677734375,289.7017018251871,19.610483386305138
HD 347929,HD 347929,Gaia DR3 4527508855614868992,236.48880004882812,271.8505283074954,19.706300746451458
V* V775 Her,HD 175742,Gaia DR3 4533301804432654976,21.329784057266203,283.97240581277936,23.555387710673795
V* V1274 Her,V* V1274 Her,Gaia DR3 4549983418742839808,16.417072441973858,263.4709486275802,16.919716366320987
V* V1269 Her,BD+18  3387,Gaia DR3 4553778902819004160,513.765380859375,262.52074675395517,18.72757775886428
TYC 1563-1228-1,TYC 1563-1228-1,Gaia DR3 4557096473000131072,431.3691657320335,264.50342024846424,22.41841452691315
V* V818 Tau,HD  27130,Gaia DR3 45788547559850496,46.640920878341824,64.41227416666666,16.947829722222224
V* V815 Her,V* V815 Her,Gaia DR3 4590455518346609792,32.385398864746094,272.06734740577184,29.691025972297254
V* V835 Her,V* V835 Her,Gaia DR3 4608207477172347904,31.291200637817383,268.85208825690773,36.18878231603982
V* DN Hyi,V* DN Hyi,Gaia DR3 4631627865115662976,55.17393583271262,20.823607115889587,-79.69230383760336
V* BQ Hyi A,V* BQ Hyi A,Gaia DR3 4644868351640807808,283.868896484375,34.5037265772639,-71.46735247595306
V* YY Men,V* YY Men,Gaia DR3 4649182702130967296,219.3607826792726,74.57466483105831,-75.27723252538463
2MASS J05003851-7252026,2MASS J05003851-7252026,Gaia DR3 4649950401772979072,354.8044128417969,75.16069886077983,-72.86751341898106
HD 271037,HD 271037,Gaia DR3 4651456423469407744,142.07168937445834,76.71064912362031,-72.35312379146879
